building_class_category
11427
9845
9501
7215
3441
2887
1631
1165
1012
931
921
643
591
570
553
395
340
321
307
288
247
207
205
144
130
123
103
93
77
70
50
44
43
41
37
27
25
23
18
13
11
11
6
4
2
2
2
